RestaurantID,City,Area,RestaurantName,CuisineTypes,AverageMealPrice,AverageRating,TotalRatings,EstimatedOrders,EstimatedRevenue,DeliveryTimeMinutes,DiscountPercentage,DeliveryPartner,Address,LastUpdatedDate
1431,Hyderabad,Kukatpally,Delight Biryani Treats,"Chinese, Mughlai, Pizza",620,4.4,4022,2339,1450180,73,25,Regular Delivery,"80/818, Guha Zila, Bidar-413004",02-05-2026
1432,Mumbai,Powai,Food Ice Cream Hub,"Ice Cream, Italian",1196,4.4,13759,1276,1526096,62,15,Swiggy Genie,"69/999, Atwal Path, Nagercoil 739065",06-06-2025
1433,Bangalore,Jayanagar,Cafe Healthy Food Junction,"Andhra, Chinese, Arabian",1189,4,4467,1371,1630119,26,20,Swiggy Genie,"H.No. 585, Kothari Ganj, Khammam-453142",12-05-2026
1434,Bangalore,Jayanagar,Royal Healthy Food Hub,"Pizza, North Indian, Bakery, Chinese",1100,3.5,14783,1658,1823800,74,30,Swiggy One,"75/540, Bhardwaj Ganj, Bulandshahr 885443",09-09-2025
1435,Mumbai,Powai,Urban Pizza Hub,"Healthy Food, Mughlai, Arabian",620,2.8,4994,2573,1595260,37,40,Swiggy One,"540, Setty Street, Korba 925531",16-09-2025
1436,Bangalore,Indiranagar,Spice Pizza Factory,"South Indian, Andhra",338,3.1,1930,2810,949780,33,50,Swiggy One,"H.No. 44, Dugar Street, Madurai-078404",10-02-2026
1437,Chennai,OMR,House Healthy Food Hub,"Fast Food, Burgers, Arabian, Italian",1001,4.8,1342,643,643643,56,20,Swiggy One,"H.No. 402, Khalsa Circle, Raipur 800719",16-08-2025
1438,Chennai,OMR,Biryani Mughlai Treats,"Fast Food, Pizza, Bakery",573,3,3700,473,271029,54,30,Swiggy Genie,"28/970, Kaul, Kurnool 253783",20-11-2025
1439,Chennai,Velachery,House Pizza Hub,"Andhra, Chinese",629,3.2,7545,2251,1415879,38,15,Swiggy One,"H.No. 12, Khatri Circle, Nellore 195695",27-08-2025
1440,Hyderabad,Madhapur,Tandoori Italian Grill,Arabian,971,3.9,11406,4505,4374355,63,40,Swiggy Genie,"85/388, Wadhwa Nagar, Berhampore-675638",29-07-2025
1441,Bangalore,Jayanagar,Street Mughlai Grill,"Pizza, Arabian, Andhra",222,3.1,13234,4071,903762,61,10,Swiggy One,"88, Bora Path, Avadi 547786",20-10-2025
1442,Chennai,Anna Nagar,Tandoori Seafood Hub,"Ice Cream, Biryani, North Indian, Pizza",437,3.3,13057,464,202768,70,30,Swiggy Genie,"50/95, Boase Ganj, Delhi-980608",03-11-2025
1443,Hyderabad,Hitech City,Urban Italian Factory,"Andhra, Fast Food, Burgers",446,3.2,2236,1995,889770,53,15,Swiggy Genie,"18/21, Saraf Path, Malegaon-670186",09-01-2026
1444,Hyderabad,Madhapur,Delight Biryani Junction,"Seafood, Fast Food",538,4.6,3813,1696,912448,21,20,Swiggy One,"H.No. 047, Mann Marg, Bhopal-667987",22-06-2025
1445,Mumbai,Dadar,House Andhra World,"Chinese, Bakery, Italian, South Indian",867,4.8,225,1243,1077681,48,40,Swiggy One,"82, Dora Marg, Ballia 046421",29-10-2025
1446,Delhi,Rohini,Spice Burgers Palace,"Seafood, Biryani, Bakery",878,3.2,1331,4845,4253910,31,20,Regular Delivery,"040, Jain Nagar, Howrah 424507",22-03-2026
1447,Chennai,Adyar,Tandoori Ice Cream Corner,"Desserts, North Indian",215,3.1,4899,4843,1041245,49,10,Regular Delivery,"736, Master Ganj, Farrukhabad-190566",06-05-2026
1448,Bangalore,BTM Layout,Urban Arabian Hub,"Burgers, Chinese, Seafood, Mughlai",884,2.9,13391,2201,1945684,66,40,Regular Delivery,"H.No. 82, Ratta Zila, Bhusawal 775903",27-12-2025
1449,Delhi,Dwarka,House Healthy Food Factory,Healthy Food,653,3.7,10245,2240,1462720,70,15,Swiggy Genie,"93/94, Raju Street, Anand-871677",15-09-2025
1450,Mumbai,Powai,House Healthy Food Corner,"Italian, Chinese",815,3.9,1100,2674,2179310,31,15,Regular Delivery,"H.No. 536, Sangha Street, Secunderabad 217311",28-04-2026
1451,Bangalore,Jayanagar,Express Arabian Palace,"Mughlai, Fast Food, Healthy Food",1158,4.3,2465,2120,2454960,35,50,Regular Delivery,"77/746, Shah, Nadiad-343513",19-09-2025
1452,Hyderabad,Banjara Hills,Royal Pizza Point,Burgers,296,4.9,2003,4286,1268656,53,50,Swiggy Genie,"446, Chada Path, Tezpur 111598",18-09-2025
1453,Hyderabad,Kukatpally,Spice Healthy Food Palace,"South Indian, Seafood, Healthy Food, Desserts",193,4.5,3745,2967,572631,58,15,Swiggy Genie,"H.No. 180, Wason, Ballia 274729",02-04-2026
1454,Delhi,Rohini,Biryani Biryani World,"Bakery, Chinese, Arabian",328,3.2,2378,2165,710120,51,40,Swiggy Genie,"556, Bahl Street, Tinsukia-574048",28-07-2025
1455,Hyderabad,Hitech City,Street Pizza Corner,"Burgers, Chinese, North Indian, Healthy Food",351,3.6,6224,2215,777465,63,30,Regular Delivery,"H.No. 92, Sundaram Road, Ambala-433084",23-10-2025
1456,Mumbai,Bandra,Express Fast Food Junction,"North Indian, Bakery",713,3.4,7305,2576,1836688,73,0,Regular Delivery,"H.No. 16, Srinivas Chowk, Pallavaram 929441",02-09-2025
1457,Delhi,Dwarka,Spice Burgers Hub,"North Indian, Pizza, Desserts",886,4.1,6235,664,588304,69,30,Regular Delivery,"398, Chada Path, Kulti-524837",15-10-2025
1458,Chennai,Velachery,Urban Mughlai Treats,"Healthy Food, Pizza, Arabian, Bakery",548,3.1,14429,3472,1902656,58,30,Swiggy Genie,"491, Gara Nagar, Bulandshahr-749130",11-05-2026
1459,Chennai,Velachery,Urban Burgers Factory,"Healthy Food, Desserts, Burgers, Mughlai",434,2.8,1369,4526,1964284,45,30,Swiggy Genie,"08/41, Hayre Road, Shimoga 883916",13-09-2025
1460,Hyderabad,Hitech City,Biryani Burgers Corner,"North Indian, Seafood",705,3,5335,1868,1316940,75,40,Swiggy Genie,"H.No. 474, Banik Path, Raiganj 952721",29-01-2026
1461,Hyderabad,Hitech City,Cafe Mughlai Junction,"Seafood, Mughlai, Healthy Food",1012,3.3,11000,3427,3468124,66,15,Swiggy Genie,"H.No. 265, Trivedi, Ratlam 082923",05-12-2025
1462,Delhi,Karol Bagh,Food Chinese Factory,"South Indian, Fast Food",650,4.1,493,875,568750,61,30,Swiggy Genie,"H.No. 81, Saini Nagar, Panihati-359507",23-02-2026
1463,Hyderabad,Madhapur,Street Desserts Corner,"South Indian, North Indian",251,4.5,1421,853,214103,31,15,Swiggy Genie,"54, Sarkar Chowk, Siwan-040612",26-11-2025
1464,Bangalore,Koramangala,Express Pizza Treats,"Biryani, Bakery, Burgers",974,3.9,6627,931,906794,39,0,Regular Delivery,"38/88, Swaminathan Path, Gorakhpur-372123",26-07-2025
1465,Bangalore,Jayanagar,Spice Mughlai Palace,"Ice Cream, Healthy Food, Italian",745,4.4,13766,428,318860,73,0,Swiggy One,"483, Sur Path, Vadodara 284746",21-05-2026
1466,Hyderabad,Hitech City,Tandoori Seafood Zone,"Italian, Seafood, Ice Cream, Desserts",790,4.4,6402,2388,1886520,60,40,Swiggy One,"65/09, Shankar Nagar, Kolkata 742046",29-03-2026
1467,Chennai,Anna Nagar,Urban Biryani Grill,"Pizza, Biryani, Healthy Food, Seafood",408,4.3,7195,1546,630768,71,15,Swiggy Genie,"13, Sahota Nagar, Surat-119100",18-01-2026
1468,Hyderabad,Gachibowli,Cafe Chinese Hub,Arabian,702,3.1,4194,1003,704106,54,20,Swiggy One,"36/219, Bhandari Road, Kota-008966",04-07-2025
1469,Mumbai,Lower Parel,Kitchen Italian Corner,Chinese,952,4,9783,4793,4562936,59,25,Regular Delivery,"72, Dada Marg, Akola-984747",05-06-2025
1470,Delhi,Connaught Place,Cafe North Indian Hub,"Fast Food, South Indian",569,4.6,6968,1457,829033,46,0,Regular Delivery,"75/603, Sahni Zila, Nangloi Jat 661446",09-12-2025
1471,Bangalore,BTM Layout,Tandoori Burgers Zone,Bakery,809,3.2,6538,111,89799,32,10,Swiggy One,"01, Sastry Ganj, Aizawl-536094",23-06-2025
1472,Bangalore,Koramangala,Express Desserts Zone,"Ice Cream, Biryani",123,4.8,9112,3503,430869,64,15,Regular Delivery,"H.No. 83, Ram Ganj, Noida-221007",18-12-2025
1473,Hyderabad,Hitech City,Kitchen Mughlai Zone,South Indian,1005,3.1,7543,2079,2089395,68,40,Swiggy Genie,"27/06, Jha Nagar, Hosur 602954",25-10-2025
1474,Hyderabad,Hitech City,Tandoori Fast Food World,"Mughlai, Seafood",954,4.7,1414,1014,967356,52,30,Regular Delivery,"634, Dash Marg, Asansol 066949",29-12-2025
1475,Delhi,Dwarka,Royal Desserts Treats,"Mughlai, Desserts",744,4.8,1830,1635,1216440,20,10,Swiggy Genie,"H.No. 64, Chaudhari Nagar, Anantapuram-677994",17-07-2025
1476,Delhi,Saket,Delight Pizza Point,"Desserts, Bakery",1160,4.3,3716,3857,4474120,42,15,Regular Delivery,"00/547, Johal Street, Giridih-302051",02-04-2026
1477,Delhi,Connaught Place,Cafe North Indian Treats,"Seafood, Bakery, Mughlai, Italian",1107,3.8,1606,3541,3919887,61,0,Regular Delivery,"H.No. 17, Sharma Ganj, Nagpur-126959",20-02-2026
1478,Chennai,OMR,Express Biryani Palace,"North Indian, Seafood",626,4.4,10227,3722,2329972,28,50,Swiggy One,"23/002, Kar Ganj, Ichalkaranji-521579",30-12-2025
1479,Bangalore,Whitefield,Delight Andhra Grill,Bakery,625,3.9,4947,1539,961875,42,50,Regular Delivery,"07, Batta Marg, Bihar Sharif 077019",13-03-2026
1480,Bangalore,Indiranagar,Express Mughlai Corner,"Mughlai, Burgers, Bakery, Fast Food",844,4,1593,3751,3165844,28,30,Swiggy Genie,"03/089, Thakkar Circle, Bhiwani 209625",18-07-2025
1481,Chennai,OMR,Tandoori Ice Cream Treats,"Seafood, Burgers",138,4.4,12144,4825,665850,39,15,Regular Delivery,"24/196, Sabharwal Circle, Gwalior 263956",22-07-2025
1482,Bangalore,Whitefield,Delight Andhra Treats,"Healthy Food, Chinese, Mughlai",743,2.9,7224,4048,3007664,56,40,Swiggy Genie,"74/413, Borra Path, Surendranagar Dudhrej 605328",14-07-2025
1483,Delhi,Connaught Place,Street Bakery Grill,"Arabian, Seafood, Italian, Desserts",702,3.7,1283,4209,2954718,52,20,Swiggy One,"07/623, Gupta Zila, Ramgarh 379350",09-09-2025
1484,Bangalore,Whitefield,Express Seafood Junction,"Desserts, Pizza, Andhra, Healthy Food",936,4.3,8838,3199,2994264,71,10,Swiggy One,"H.No. 84, Loyal Street, Panchkula 068455",28-03-2026
1485,Delhi,Rohini,Street Seafood Hub,Ice Cream,461,4.2,8483,161,74221,71,40,Swiggy One,"92/508, Shukla Nagar, Khora -016029",12-01-2026
1486,Hyderabad,Madhapur,Food Pizza World,Burgers,200,3.6,4799,228,45600,55,0,Regular Delivery,"664, Sachdev Road, Hubli–Dharwad-379650",23-09-2025
1487,Hyderabad,Kukatpally,Tandoori North Indian Zone,"Bakery, Ice Cream, South Indian",509,4.6,13230,4032,2052288,22,30,Swiggy One,"25, Gopal Ganj, Kurnool 864023",26-05-2025
1488,Delhi,Rohini,Cafe Biryani Zone,"Healthy Food, Pizza",831,3.7,14230,1303,1082793,35,0,Swiggy One,"24/54, Venkataraman Street, Nizamabad-430850",11-07-2025
1489,Chennai,Anna Nagar,Tandoori South Indian Factory,North Indian,919,4.4,6657,1745,1603655,26,30,Swiggy Genie,"H.No. 240, Srinivasan Nagar, Thoothukudi 736800",22-11-2025
1490,Chennai,Adyar,Delight Fast Food World,"Biryani, Ice Cream, Pizza",722,3.7,9380,239,172558,23,50,Regular Delivery,"44, Upadhyay, Narasaraopet 196138",28-03-2026
1491,Bangalore,Jayanagar,Spice North Indian Point,"Burgers, Fast Food, Seafood, Mughlai",537,3.7,14608,469,251853,64,10,Swiggy Genie,"30/026, Sura Nagar, Pondicherry 857264",23-11-2025
1492,Chennai,T Nagar,Delight South Indian Treats,"Ice Cream, Chinese, Arabian",1111,3.4,5668,3145,3494095,47,40,Swiggy Genie,"H.No. 916, Warrior, Bokaro 420163",02-03-2026
1493,Chennai,Anna Nagar,Royal Seafood Factory,"Pizza, Mughlai, Italian, Chinese",1013,4.6,2293,1540,1560020,40,40,Swiggy Genie,"44/549, Ram Nagar, Dehradun 331400",16-11-2025
1494,Hyderabad,Madhapur,Tandoori Fast Food Palace,Seafood,1020,4.5,4287,4015,4095300,51,25,Swiggy One,"34, Goel Street, Barasat-099062",02-11-2025
1495,Chennai,OMR,Tandoori Andhra Factory,"Seafood, Burgers, Arabian",469,3,13551,4457,2090333,72,20,Swiggy Genie,"31, Mallick Street, Bhatpara 943677",15-07-2025
1496,Chennai,Anna Nagar,Cafe Bakery Junction,"Chinese, Healthy Food, Pizza, Burgers",328,3.1,13630,107,35096,75,0,Regular Delivery,"H.No. 988, Mann Street, Vadodara-553157",16-11-2025
1497,Hyderabad,Banjara Hills,Royal Healthy Food Junction,"Burgers, South Indian",413,4.1,7640,3566,1472758,51,15,Swiggy One,"16/34, Shere Zila, Bulandshahr-380773",17-05-2026
1498,Delhi,Rohini,Biryani Seafood Zone,"Bakery, Ice Cream",785,3.2,9625,1475,1157875,62,25,Regular Delivery,"H.No. 989, Savant Ganj, Bhilwara 800395",05-03-2026
1499,Chennai,Velachery,Express Seafood World,"Biryani, Fast Food, South Indian",874,4.1,7400,2832,2475168,24,0,Swiggy Genie,"28/11, Venkataraman Street, Visakhapatnam-168446",16-08-2025
1500,Delhi,Connaught Place,Street Italian World,"Arabian, Healthy Food, South Indian",749,3.4,3823,1839,1377411,68,30,Swiggy One,"63/96, Ravi Zila, Ajmer-965569",17-08-2025
1501,Hyderabad,Kukatpally,Kitchen Biryani Factory,"Arabian, South Indian, Andhra, Mughlai",734,4.3,9406,2209,1621406,49,20,Swiggy One,"99, Mallick, Noida-627848",10-05-2026
1502,Delhi,Saket,Tandoori Healthy Food Zone,Seafood,182,3.3,2094,3531,642642,53,20,Swiggy Genie,"124, Saran Road, Pondicherry-759066",04-12-2025
1503,Bangalore,Indiranagar,Spice Healthy Food Zone,"Burgers, Fast Food",478,4.5,9172,1506,719868,24,30,Swiggy One,"94/469, Khatri Circle, Warangal-213930",25-06-2025
1504,Delhi,Dwarka,Express Andhra Corner,"North Indian, Pizza",767,4.2,5185,3726,2857842,31,10,Regular Delivery,"446, Balakrishnan, Medininagar-814924",28-01-2026
1505,Chennai,Adyar,Cafe Desserts World,"Fast Food, Italian, Burgers",1168,2.9,8436,2998,3501664,56,10,Swiggy One,"25/203, Bala Ganj, Parbhani 666752",27-03-2026
1506,Mumbai,Bandra,Kitchen Chinese World,"Ice Cream, Andhra, Fast Food",1026,4.4,2713,4903,5030478,57,40,Swiggy Genie,"45/102, Kalita Path, Raiganj 377968",12-06-2025
1507,Chennai,Velachery,Delight Ice Cream Treats,"Mughlai, Chinese",1000,3.4,14894,4893,4893000,41,0,Regular Delivery,"13/32, Virk Circle, Surendranagar Dudhrej 625346",04-03-2026
1508,Delhi,Connaught Place,Spice Seafood World,Biryani,586,4,8754,1421,832706,34,30,Swiggy Genie,"96/031, Srinivasan Nagar, Ballia-651077",28-01-2026
1509,Bangalore,Jayanagar,House Arabian Treats,"Arabian, Italian, Pizza, Chinese",687,4.3,8481,3830,2631210,69,25,Regular Delivery,"H.No. 745, Dhaliwal Circle, Sambalpur 189639",13-04-2026
1510,Chennai,Adyar,Kitchen Seafood Grill,"Bakery, Andhra",833,4.4,2121,4932,4108356,53,10,Swiggy Genie,"83, Arya Street, Gudivada 811952",30-03-2026
1511,Hyderabad,Gachibowli,Cafe Italian Zone,Italian,271,4.5,4952,3781,1024651,53,20,Swiggy Genie,"19/210, Chokshi Street, Unnao 959745",01-12-2025
1512,Mumbai,Andheri,Biryani Biryani Palace,"Arabian, Italian, Pizza",542,3.7,12510,4365,2365830,75,15,Swiggy One,"474, Khanna Nagar, Sambhal-987642",29-05-2025
1513,Delhi,Connaught Place,Cafe Fast Food Hub,Burgers,549,3.9,5648,4473,2455677,68,40,Swiggy Genie,"26/65, Mammen Ganj, Mehsana-983564",29-10-2025
1514,Bangalore,Jayanagar,Express Chinese Palace,"Healthy Food, Andhra",809,4,14590,4772,3860548,72,0,Regular Delivery,"08, Venkatesh Ganj, Sambalpur-116202",20-07-2025
1515,Hyderabad,Madhapur,Biryani Pizza Zone,"Italian, Arabian, North Indian, Burgers",990,4.7,9637,3141,3109590,33,20,Swiggy Genie,"11, Baral Marg, Ghaziabad-569581",29-04-2026
1516,Chennai,OMR,Cafe North Indian Factory,Italian,519,3.1,6514,1078,559482,21,10,Regular Delivery,"56/279, Tara Zila, Hajipur-293512",13-09-2025
1517,Hyderabad,Hitech City,Tandoori Pizza Grill,North Indian,1091,3.4,10639,2943,3210813,75,30,Swiggy Genie,"H.No. 64, Rajan Ganj, Unnao 868960",10-04-2026
1518,Hyderabad,Banjara Hills,Cafe Seafood Zone,South Indian,326,4.6,11800,2401,782726,27,0,Swiggy One,"240, Cheema Circle, Bangalore-414110",02-03-2026
1519,Bangalore,Indiranagar,Tandoori Mughlai Point,"Fast Food, Bakery, Desserts",822,4.8,13076,1764,1450008,70,50,Swiggy One,"57/900, Sant, Tirunelveli-793475",11-07-2025
1520,Mumbai,Bandra,Express Mughlai Grill,"Chinese, Biryani, Bakery, Burgers",622,3.2,4014,138,85836,71,0,Regular Delivery,"H.No. 767, Venkatesh Nagar, Yamunanagar 637197",19-01-2026
1521,Chennai,OMR,House Arabian World,"Andhra, South Indian, Burgers",624,3,5527,3156,1969344,75,40,Swiggy Genie,"846, Chana Ganj, Chapra 858489",08-08-2025
1522,Delhi,Dwarka,Royal Biryani Treats,"Bakery, Burgers",714,3.3,11172,1177,840378,59,0,Regular Delivery,"92/51, Apte Path, Jhansi 844479",19-01-2026
1523,Hyderabad,Banjara Hills,Express Andhra Treats,"Burgers, Desserts, North Indian, Chinese",959,2.8,4135,4349,4170691,38,15,Swiggy Genie,"52/25, Sastry Zila, Panvel 087565",04-11-2025
1524,Mumbai,Powai,House Andhra Point,"Chinese, Andhra, Bakery",191,4.7,10264,2728,521048,64,50,Regular Delivery,"07/200, Hayer Nagar, Siliguri 469548",11-12-2025
1525,Hyderabad,Kukatpally,Spice Bakery Point,"Andhra, Healthy Food, Pizza",196,3.2,9228,1188,232848,54,0,Swiggy One,"15, Zachariah Circle, Katni-301026",02-12-2025
1526,Hyderabad,Madhapur,Tandoori Andhra Corner,"Pizza, Desserts, Fast Food",1162,4.6,4363,2296,2667952,60,25,Swiggy One,"55, Bir Marg, Tirunelveli 232775",07-03-2026
1527,Bangalore,Jayanagar,Tandoori North Indian Grill,"Seafood, Mughlai",963,4,785,3374,3249162,46,50,Swiggy One,"32, Kapoor Road, Bhilwara 788543",09-04-2026
1528,Delhi,Connaught Place,Express Ice Cream Grill,"Burgers, Ice Cream",1162,3.8,4467,2952,3430224,75,30,Swiggy Genie,"19/773, Kant Zila, Mangalore 117731",07-05-2026
1529,Hyderabad,Kukatpally,Kitchen Ice Cream Junction,"Pizza, Andhra, Desserts, South Indian",163,4.1,7010,945,154035,71,10,Swiggy One,"752, Sani Ganj, Bhopal 939463",10-05-2026
1530,Chennai,Anna Nagar,Delight Chinese Zone,"Arabian, Biryani",1130,3.2,7748,4274,4829620,48,30,Swiggy Genie,"H.No. 164, Garg Ganj, Madhyamgram-948034",06-04-2026
1531,Hyderabad,Gachibowli,Spice Ice Cream Point,"Arabian, Mughlai, Desserts, Andhra",596,4.3,9963,2939,1751644,20,10,Swiggy Genie,"55/792, Anand Chowk, Kadapa 224346",31-03-2026
1532,Delhi,Dwarka,Express Pizza Treats,Burgers,392,3.5,12952,2226,872592,30,0,Swiggy Genie,"28/42, Sen Marg, Rajkot-934124",05-11-2025
1533,Hyderabad,Gachibowli,Cafe Bakery World,South Indian,1065,3.1,4449,623,663495,68,25,Swiggy Genie,"49/778, Bawa Street, Salem-915223",10-06-2025
1534,Bangalore,Whitefield,Urban Ice Cream Factory,"Biryani, Arabian, Healthy Food",611,4.6,10588,4034,2464774,24,0,Regular Delivery,"49/714, Tak, Asansol-773302",05-12-2025
1535,Delhi,Karol Bagh,Urban Ice Cream Zone,Pizza,1073,2.9,12013,1317,1413141,67,50,Regular Delivery,"61/181, Kaul Road, Agra-583141",10-08-2025
1536,Mumbai,Powai,Royal Healthy Food Palace,"Fast Food, Chinese, Italian, Burgers",415,3.2,279,1492,619180,36,20,Swiggy One,"H.No. 483, Behl Ganj, Udaipur-141335",03-06-2025
1537,Bangalore,BTM Layout,Tandoori Arabian Treats,South Indian,1196,3.7,11314,491,587236,44,20,Swiggy One,"91/83, Desai Road, Danapur-623850",07-08-2025
1538,Bangalore,Indiranagar,Spice Pizza Hub,"Italian, Bakery, Seafood, Chinese",185,4,12820,3282,607170,70,20,Swiggy One,"64, Shenoy Chowk, Barasat-896562",01-06-2025
1539,Hyderabad,Madhapur,Delight North Indian Hub,"Fast Food, Healthy Food, Ice Cream",814,3.8,9960,570,463980,40,0,Swiggy Genie,"84, Reddy Marg, Mysore 169598",21-04-2026
1540,Mumbai,Bandra,Delight North Indian Hub,"Seafood, Mughlai",1064,3.3,7610,363,386232,25,20,Regular Delivery,"20/609, Singhal, Sangli-Miraj & Kupwad-118461",30-08-2025
1541,Mumbai,Bandra,Tandoori Mughlai Grill,"Chinese, South Indian",204,4.4,7793,4140,844560,24,40,Swiggy Genie,"84/573, Kaul Zila, Khora -847091",19-02-2026
1542,Hyderabad,Madhapur,Biryani Ice Cream Treats,Ice Cream,349,4.9,1867,4562,1592138,56,15,Swiggy Genie,"H.No. 26, Sodhi Nagar, Morbi-314834",25-01-2026
1543,Mumbai,Andheri,Spice Pizza Junction,"Ice Cream, Pizza, Biryani, Fast Food",737,3.4,12936,3033,2235321,28,15,Swiggy Genie,"07, Verma Road, Ratlam-732264",31-03-2026
1544,Bangalore,Whitefield,Biryani Burgers Junction,Pizza,672,4.4,2375,4858,3264576,66,0,Swiggy One,"40/959, Khalsa Road, Durg-744819",21-01-2026
1545,Chennai,Adyar,Tandoori Burgers Treats,"Burgers, Fast Food, Arabian, North Indian",843,3.5,3730,3430,2891490,28,50,Swiggy Genie,"741, Shanker Marg, Panvel-816575",30-06-2025
1546,Mumbai,Lower Parel,Street Bakery Factory,"North Indian, Seafood, Chinese",838,3,657,950,796100,28,10,Regular Delivery,"202, Deol Chowk, Imphal-030533",09-09-2025
1547,Bangalore,Koramangala,Food Mughlai Palace,Burgers,967,3.3,9159,1119,1082073,47,40,Swiggy Genie,"79/80, Chaudhuri Circle, Pune-148836",09-11-2025
1548,Mumbai,Dadar,Express Ice Cream Palace,North Indian,1054,3.3,8425,3670,3868180,67,20,Regular Delivery,"78/463, Ramesh Marg, Dehri-740772",07-08-2025
1549,Delhi,Connaught Place,Kitchen Arabian Grill,South Indian,387,3,4977,3386,1310382,22,0,Regular Delivery,"H.No. 382, Dhillon Path, Munger 888556",09-02-2026
1550,Delhi,Saket,Biryani Desserts Palace,"Pizza, Andhra, Biryani, Mughlai",670,3.9,4480,4210,2820700,48,0,Swiggy Genie,"778, Rattan Street, Ranchi 808664",21-02-2026
1551,Bangalore,Indiranagar,Urban North Indian Corner,"Seafood, Pizza, Fast Food, Chinese",255,4.9,3315,1295,330225,67,50,Swiggy Genie,"H.No. 603, Saha, Hubli–Dharwad 851429",12-02-2026
1552,Chennai,T Nagar,Tandoori North Indian Hub,Fast Food,162,2.8,8553,2469,399978,44,20,Regular Delivery,"09, Savant Zila, Karawal Nagar 374702",10-04-2026
1553,Mumbai,Dadar,Spice North Indian Zone,"Biryani, Arabian",1187,4,12799,1073,1273651,56,10,Swiggy One,"00/749, Hari Street, Meerut-524162",26-04-2026
1554,Bangalore,Whitefield,Delight Chinese Treats,North Indian,431,4.5,2325,1731,746061,63,50,Swiggy One,"64, Jani Street, Fatehpur 604833",10-11-2025
1555,Delhi,Rohini,Cafe Seafood Palace,"South Indian, Fast Food, North Indian, Ice Cream",288,4.8,14248,4012,1155456,55,40,Swiggy One,"78/874, Gaba Nagar, Raiganj 995685",02-06-2025
1556,Mumbai,Bandra,Spice Ice Cream Junction,South Indian,630,3.7,14636,3730,2349900,26,20,Swiggy Genie,"54/299, Raj Path, Udaipur-082005",04-10-2025
1557,Bangalore,Jayanagar,Royal Bakery Palace,Seafood,795,3.9,12489,1309,1040655,56,25,Swiggy Genie,"86, Khatri Zila, Tiruppur-242069",19-05-2026
1558,Hyderabad,Kukatpally,Biryani Fast Food Factory,Chinese,609,3.4,6785,2714,1652826,21,50,Swiggy One,"50/552, Dube Circle, Nagaon-711421",11-05-2026
1559,Delhi,Rohini,Street Mughlai Treats,"Arabian, Healthy Food, Bakery",1024,3.1,929,4589,4699136,26,0,Swiggy Genie,"449, Bhargava Street, Alappuzha-316662",16-02-2026
1560,Chennai,Anna Nagar,Express Pizza Corner,"Chinese, Bakery",575,3.9,9822,89,51175,69,25,Swiggy Genie,"25, Tailor Road, Kharagpur 306233",22-10-2025
1561,Mumbai,Bandra,Express Chinese World,Bakery,656,4.2,14874,1942,1273952,28,50,Swiggy One,"61, Kapadia Marg, Guntur-096477",30-03-2026
1562,Hyderabad,Banjara Hills,Biryani Italian Hub,"Burgers, Italian, Biryani",137,3.4,2662,4667,639379,59,10,Swiggy Genie,"34/33, Sha Marg, Thanjavur-787192",20-10-2025
1563,Delhi,Karol Bagh,House Andhra Point,Biryani,481,4.5,5413,2429,1168349,42,0,Regular Delivery,"H.No. 50, Tara Nagar, Navi Mumbai-793244",26-06-2025
1564,Mumbai,Andheri,Kitchen Burgers Junction,South Indian,233,3.4,6741,778,181274,21,0,Swiggy Genie,"H.No. 036, Bandi Road, Mahbubnagar 004636",03-02-2026
1565,Delhi,Saket,Spice Chinese Corner,"Italian, South Indian",530,4.9,2133,642,340260,56,40,Swiggy One,"18, Randhawa Zila, Bidar 191089",25-09-2025
1566,Bangalore,Indiranagar,Express Bakery Hub,Ice Cream,1139,4.3,7180,1918,2184602,68,30,Regular Delivery,"73/002, Shere, Jehanabad-016321",09-11-2025
1567,Chennai,T Nagar,Urban Pizza World,"South Indian, Italian, Pizza, Seafood",978,4.9,14011,3216,3145248,60,25,Swiggy Genie,"815, Sami Road, Maheshtala-964768",09-08-2025
1568,Bangalore,Jayanagar,Tandoori North Indian Factory,Seafood,1142,4.3,13133,2612,2982904,60,20,Swiggy One,"H.No. 61, Sankar, Mango 638485",28-11-2025
1569,Hyderabad,Kukatpally,Food Chinese World,"Bakery, Ice Cream",959,3.9,2723,1113,1067367,40,10,Swiggy One,"91, Karpe Marg, Adoni-553000",19-08-2025
1570,Hyderabad,Banjara Hills,Cafe Mughlai Factory,"North Indian, Ice Cream, Fast Food, Andhra",939,4.8,14073,707,663873,28,25,Regular Delivery,"15/261, Venkatesh Path, Chapra-886345",18-02-2026
1571,Mumbai,Dadar,Kitchen Italian Point,"Ice Cream, Mughlai, Arabian, Pizza",446,4,10521,203,90538,33,30,Swiggy Genie,"63, Goyal Marg, Narasaraopet 093708",24-11-2025
1572,Mumbai,Andheri,Urban Desserts Factory,"Healthy Food, Pizza, Chinese",676,4.5,5089,3514,2375464,23,25,Regular Delivery,"H.No. 43, Khosla Nagar, Sasaram-390739",24-05-2026
1573,Mumbai,Lower Parel,Royal Seafood Treats,"Biryani, Chinese",637,4.1,12357,3003,1912911,42,15,Swiggy One,"317, Deo Nagar, Ambattur 615570",16-06-2025
1574,Delhi,Saket,House Ice Cream Palace,Mughlai,300,4.4,1706,1682,504600,62,50,Regular Delivery,"516, Sandal Chowk, Bellary-175493",15-01-2026
